,int64_field_0,Agence_Facturation,Region_Facturation,Materiel,Statut,Libelle_Statut_Materiel,Nature_equipement,Modele,Marque,Date_Mise_en_Service,Derniere_Loc,Age_Mois,Age_Reforme_Mois,Tx_Maturite_Materiel,CA,Annee_RefT,Nb_Jours_Fac,Nb_Jours_VLG,Valeur_Locative_Th_TR_IndM,Prix_Reference_Monnaie_locale,Pay_Back_Prix_Reference,Date_Fin_Vie,Cat_Classe_Designation_Num
0,0,10,1,146029,U,RETOUR PLANIFIE,EQP,305E-CR,CATERPILLA,31/01/2019,02/02/2023,108,97,"1,11",0,2018,0,261,,36500,0,,3.0
1,1,10,1,146029,U,RETOUR PLANIFIE,EQP,305E-CR,CATERPILLA,31/01/2019,02/02/2023,108,97,"1,11",0,2019,0,261,,36500,0,,3.0
2,2,10,1,146029,U,RETOUR PLANIFIE,EQP,305E-CR,CATERPILLA,31/01/2019,02/02/2023,108,97,"1,11",0,2020,0,262,,36500,0,,3.0
3,3,10,1,146029,U,RETOUR PLANIFIE,EQP,305E-CR,CATERPILLA,31/01/2019,02/02/2023,108,97,"1,11",0,2021,0,261,,36500,0,,3.0
4,4,10,1,146029,U,RETOUR PLANIFIE,EQP,305E-CR,CATERPILLA,31/01/2019,02/02/2023,108,97,"1,11",0,2022,0,260,,36500,0,,3.0
5,5,10,1,146033,N,PANNE COURT TERME,EQP,VIO50,YANMAR,18/11/2013,31/01/2023,108,97,"1,12",0,2018,0,261,,36500,0,,3.0
6,6,10,1,146033,N,PANNE COURT TERME,EQP,VIO50,YANMAR,18/11/2013,31/01/2023,108,97,"1,12",0,2019,0,261,,36500,0,,3.0
7,7,10,1,146033,N,PANNE COURT TERME,EQP,VIO50,YANMAR,18/11/2013,31/01/2023,108,97,"1,12",0,2020,0,262,,36500,0,,3.0
8,8,10,1,146033,N,PANNE COURT TERME,EQP,VIO50,YANMAR,18/11/2013,31/01/2023,108,97,"1,12",0,2021,0,261,,36500,0,,3.0
9,9,10,1,146033,N,PANNE COURT TERME,EQP,VIO50,YANMAR,18/11/2013,31/01/2023,108,97,"1,12",0,2022,0,260,,36500,0,,3.0
10,10,10,1,146037,O,EN LOCATION,EQP,MT625T,MANITOU,18/12/2013,31/01/2023,107,116,"0,93",0,2018,0,261,,37000,0,,1.0
11,11,10,1,146037,O,EN LOCATION,EQP,MT625T,MANITOU,18/12/2013,31/01/2023,107,116,"0,93",0,2019,0,261,,37000,0,,1.0
12,12,10,1,146037,O,EN LOCATION,EQP,MT625T,MANITOU,18/12/2013,31/01/2023,107,116,"0,93",0,2020,0,262,,37000,0,,1.0
13,13,10,1,146037,O,EN LOCATION,EQP,MT625T,MANITOU,18/12/2013,31/01/2023,107,116,"0,93",0,2021,0,261,,37000,0,,1.0
14,14,10,1,146037,O,EN LOCATION,EQP,MT625T,MANITOU,18/12/2013,31/01/2023,107,116,"0,93",0,2022,0,260,,37000,0,,1.0
15,15,10,1,146038,O,EN LOCATION,ACC,CBR730,MANITOU,18/12/2013,31/01/2023,107,83,"1,29",0,2018,0,261,,1500,0,,1.0
16,16,10,1,146038,O,EN LOCATION,ACC,CBR730,MANITOU,18/12/2013,31/01/2023,107,83,"1,29",0,2019,0,261,,1500,0,,1.0
17,17,10,1,146038,O,EN LOCATION,ACC,CBR730,MANITOU,18/12/2013,31/01/2023,107,83,"1,29",0,2020,0,262,,1500,0,,1.0
18,18,10,1,146038,O,EN LOCATION,ACC,CBR730,MANITOU,18/12/2013,31/01/2023,107,83,"1,29",0,2021,0,261,,1500,0,,1.0
19,19,10,1,146038,O,EN LOCATION,ACC,CBR730,MANITOU,18/12/2013,31/01/2023,107,83,"1,29",0,2022,0,260,,1500,0,,1.0
20,20,10,1,146039,O,EN LOCATION,EQP,E80,BOBCAT,01/11/2018,15/02/2023,108,90,"1,2",0,2018,0,261,,55000,0,,3.0
21,21,10,1,146039,O,EN LOCATION,EQP,E80,BOBCAT,01/11/2018,15/02/2023,108,90,"1,2",0,2019,0,261,,55000,0,,3.0
22,22,10,1,146039,O,EN LOCATION,EQP,E80,BOBCAT,01/11/2018,15/02/2023,108,90,"1,2",0,2020,0,262,,55000,0,,3.0
23,23,10,1,146039,O,EN LOCATION,EQP,E80,BOBCAT,01/11/2018,15/02/2023,108,90,"1,2",0,2021,0,261,,55000,0,,3.0
24,24,10,1,146039,O,EN LOCATION,EQP,E80,BOBCAT,01/11/2018,15/02/2023,108,90,"1,2",0,2022,0,260,,55000,0,,3.0
25,25,10,1,146111,N,PANNE COURT TERME,EQP,BT420,MANITOU,31/10/2013,02/03/2023,109,116,"0,94",0,2019,0,261,,34000,0,,1.0
26,26,10,1,146111,N,PANNE COURT TERME,EQP,BT420,MANITOU,31/10/2013,02/03/2023,109,116,"0,94",0,2020,0,262,,34000,0,,1.0
27,27,10,1,146111,N,PANNE COURT TERME,EQP,BT420,MANITOU,31/10/2013,02/03/2023,109,116,"0,94",0,2021,0,261,,34000,0,,1.0
28,28,10,1,146111,N,PANNE COURT TERME,EQP,BT420,MANITOU,31/10/2013,02/03/2023,109,116,"0,94",0,2022,0,260,,34000,0,,1.0
29,29,10,1,146112,A,DISPONIBLE,EQP,BT420T,MANITOU,06/11/2013,02/08/2023,109,116,"0,94",0,2019,0,261,,34000,0,,1.0
30,30,10,1,146112,A,DISPONIBLE,EQP,BT420T,MANITOU,06/11/2013,02/08/2023,109,116,"0,94",0,2020,0,262,,34000,0,,1.0
31,31,10,1,146112,A,DISPONIBLE,EQP,BT420T,MANITOU,06/11/2013,02/08/2023,109,116,"0,94",0,2021,0,261,,34000,0,,1.0
32,32,10,1,146112,A,DISPONIBLE,EQP,BT420T,MANITOU,06/11/2013,02/08/2023,109,116,"0,94",0,2022,0,260,,34000,0,,1.0
33,33,10,1,146113,A,DISPONIBLE,ACC,CBR600,MANITOU,31/10/2013,15/12/2022,109,83,"1,31",0,2019,0,261,,1500,0,,1.0
34,34,10,1,146113,A,DISPONIBLE,ACC,CBR600,MANITOU,31/10/2013,15/12/2022,109,83,"1,31",0,2020,0,262,,1500,0,,1.0
35,35,10,1,146113,A,DISPONIBLE,ACC,CBR600,MANITOU,31/10/2013,15/12/2022,109,83,"1,31",0,2021,0,261,,1500,0,,1.0
36,36,10,1,146113,A,DISPONIBLE,ACC,CBR600,MANITOU,31/10/2013,15/12/2022,109,83,"1,31",0,2022,0,260,,1500,0,,1.0
37,37,10,1,146114,A,DISPONIBLE,ACC,CBR600,MANITOU,11/12/2013,02/08/2023,108,83,"1,3",0,2019,0,261,,1500,0,,1.0
38,38,10,1,146114,A,DISPONIBLE,ACC,CBR600,MANITOU,11/12/2013,02/08/2023,108,83,"1,3",0,2020,0,262,,1500,0,,1.0
39,39,10,1,146114,A,DISPONIBLE,ACC,CBR600,MANITOU,11/12/2013,02/08/2023,108,83,"1,3",0,2021,0,261,,1500,0,,1.0
40,40,10,1,146114,A,DISPONIBLE,ACC,CBR600,MANITOU,11/12/2013,02/08/2023,108,83,"1,3",0,2022,0,260,,1500,0,,1.0
41,41,10,1,146129,U,RETOUR PLANIFIE,EQP,VIO20,YANMAR,22/11/2013,02/07/2023,108,97,"1,12",0,2019,0,175,,23700,0,,3.0
42,42,10,1,146129,U,RETOUR PLANIFIE,EQP,VIO20,YANMAR,22/11/2013,02/07/2023,108,97,"1,12",0,2020,0,262,,23700,0,,3.0
43,43,10,1,146129,U,RETOUR PLANIFIE,EQP,VIO20,YANMAR,22/11/2013,02/07/2023,108,97,"1,12",0,2021,0,261,,23700,0,,3.0
44,44,10,1,146129,U,RETOUR PLANIFIE,EQP,VIO20,YANMAR,22/11/2013,02/07/2023,108,97,"1,12",0,2022,0,260,,23700,0,,3.0
45,45,10,1,146130,A,DISPONIBLE,EQP,VIO20,YANMAR,09/12/2013,13/02/2023,108,97,"1,11",0,2019,0,175,,23700,0,,3.0
46,46,10,1,146130,A,DISPONIBLE,EQP,VIO20,YANMAR,09/12/2013,13/02/2023,108,97,"1,11",0,2020,0,262,,23700,0,,3.0
47,47,10,1,146130,A,DISPONIBLE,EQP,VIO20,YANMAR,09/12/2013,13/02/2023,108,97,"1,11",0,2021,0,261,,23700,0,,3.0
48,48,10,1,146130,A,DISPONIBLE,EQP,VIO20,YANMAR,09/12/2013,13/02/2023,108,97,"1,11",0,2022,0,260,,23700,0,,3.0
49,49,10,1,146137,S,VENDU,EQP,ECR48C,VOLVO,30/11/2018,09/10/2020,82,97,"0,84",0,2019,0,175,,36500,0,27/08/2020,3.0
50,50,10,1,146137,S,VENDU,EQP,ECR48C,VOLVO,30/11/2018,09/10/2020,82,97,"0,84",0,2020,0,262,,36500,0,27/08/2020,3.0
51,51,10,1,146137,S,VENDU,EQP,ECR48C,VOLVO,30/11/2018,09/10/2020,82,97,"0,84",0,2021,0,261,,36500,0,27/08/2020,3.0
52,52,10,1,146137,S,VENDU,EQP,ECR48C,VOLVO,30/11/2018,09/10/2020,82,97,"0,84",0,2022,0,260,,36500,0,27/08/2020,3.0
53,53,10,1,146138,S,VENDU,EQP,ECR48C,VOLVO,30/11/2018,21/12/2021,97,97,1,0,2019,0,175,,36500,0,02/08/2021,3.0
54,54,10,1,146138,S,VENDU,EQP,ECR48C,VOLVO,30/11/2018,21/12/2021,97,97,1,0,2020,0,262,,36500,0,02/08/2021,3.0
55,55,10,1,146138,S,VENDU,EQP,ECR48C,VOLVO,30/11/2018,21/12/2021,97,97,1,0,2021,0,261,,36500,0,02/08/2021,3.0
56,56,10,1,146138,S,VENDU,EQP,ECR48C,VOLVO,30/11/2018,21/12/2021,97,97,1,0,2022,0,260,,36500,0,02/08/2021,3.0
57,57,10,1,146148,A,DISPONIBLE,EQP,P40.17,MERLO,07/01/2019,13/02/2023,110,111,"0,99",0,2018,0,242,,61000,0,,1.0
58,58,10,1,146148,A,DISPONIBLE,EQP,P40.17,MERLO,07/01/2019,13/02/2023,110,111,"0,99",0,2019,0,261,,61000,0,,1.0
59,59,10,1,146148,A,DISPONIBLE,EQP,P40.17,MERLO,07/01/2019,13/02/2023,110,111,"0,99",0,2020,0,262,,61000,0,,1.0
60,60,10,1,146148,A,DISPONIBLE,EQP,P40.17,MERLO,07/01/2019,13/02/2023,110,111,"0,99",0,2021,0,261,,61000,0,,1.0
61,61,10,1,146148,A,DISPONIBLE,EQP,P40.17,MERLO,07/01/2019,13/02/2023,110,111,"0,99",0,2022,0,260,,61000,0,,1.0
62,62,10,1,146149,A,DISPONIBLE,ACC,800L/P40.17,MERLO,16/10/2013,30/01/2023,110,83,"1,32",0,2018,0,131,,1500,0,,1.0
63,63,10,1,146149,A,DISPONIBLE,ACC,800L/P40.17,MERLO,16/10/2013,30/01/2023,110,83,"1,32",0,2019,0,261,,1500,0,,1.0
64,64,10,1,146149,A,DISPONIBLE,ACC,800L/P40.17,MERLO,16/10/2013,30/01/2023,110,83,"1,32",0,2020,0,262,,1500,0,,1.0
65,65,10,1,146149,A,DISPONIBLE,ACC,800L/P40.17,MERLO,16/10/2013,30/01/2023,110,83,"1,32",0,2021,0,261,,1500,0,,1.0
66,66,10,1,146149,A,DISPONIBLE,ACC,800L/P40.17,MERLO,16/10/2013,30/01/2023,110,83,"1,32",0,2022,0,260,,1500,0,,1.0
67,67,10,1,146150,N,PANNE COURT TERME,EQP,P38.14,MERLO,09/01/2019,02/10/2023,108,111,"0,97",0,2019,0,261,,55000,0,,1.0
68,68,10,1,146150,N,PANNE COURT TERME,EQP,P38.14,MERLO,09/01/2019,02/10/2023,108,111,"0,97",0,2020,0,262,,55000,0,,1.0
69,69,10,1,146150,N,PANNE COURT TERME,EQP,P38.14,MERLO,09/01/2019,02/10/2023,108,111,"0,97",0,2021,0,261,,55000,0,,1.0
70,70,10,1,146150,N,PANNE COURT TERME,EQP,P38.14,MERLO,09/01/2019,02/10/2023,108,111,"0,97",0,2022,0,260,,55000,0,,1.0
71,71,10,1,146151,A,DISPONIBLE,ACC,P/P38.14,MERLO,09/12/2013,01/12/2023,108,83,"1,3",0,2019,0,175,,1500,0,,1.0
72,72,10,1,146151,A,DISPONIBLE,ACC,P/P38.14,MERLO,09/12/2013,01/12/2023,108,83,"1,3",0,2020,0,262,,1500,0,,1.0
73,73,10,1,146151,A,DISPONIBLE,ACC,P/P38.14,MERLO,09/12/2013,01/12/2023,108,83,"1,3",0,2021,0,261,,1500,0,,1.0
74,74,10,1,146151,A,DISPONIBLE,ACC,P/P38.14,MERLO,09/12/2013,01/12/2023,108,83,"1,3",0,2022,0,260,,1500,0,,1.0
75,75,10,1,146156,S,VENDU,EQP,308E2-CR,CATERPILLA,31/01/2019,18/02/2022,98,90,"1,09",0,2018,0,16,,55000,0,02/02/2022,3.0
76,76,10,1,146156,S,VENDU,EQP,308E2-CR,CATERPILLA,31/01/2019,18/02/2022,98,90,"1,09",0,2019,0,261,,55000,0,02/02/2022,3.0
77,77,10,1,146156,S,VENDU,EQP,308E2-CR,CATERPILLA,31/01/2019,18/02/2022,98,90,"1,09",0,2020,0,262,,55000,0,02/02/2022,3.0
78,78,10,1,146156,S,VENDU,EQP,308E2-CR,CATERPILLA,31/01/2019,18/02/2022,98,90,"1,09",0,2021,0,261,,55000,0,02/02/2022,3.0
79,79,10,1,146156,S,VENDU,EQP,308E2-CR,CATERPILLA,31/01/2019,18/02/2022,98,90,"1,09",0,2022,0,260,,55000,0,02/02/2022,3.0
80,80,10,1,146160,O,EN LOCATION,EQP,E80,BOBCAT,01/11/2018,31/01/2023,109,90,"1,21",0,2019,0,175,,55000,0,,3.0
81,81,10,1,146160,O,EN LOCATION,EQP,E80,BOBCAT,01/11/2018,31/01/2023,109,90,"1,21",0,2020,0,262,,55000,0,,3.0
82,82,10,1,146160,O,EN LOCATION,EQP,E80,BOBCAT,01/11/2018,31/01/2023,109,90,"1,21",0,2021,0,261,,55000,0,,3.0
83,83,10,1,146160,O,EN LOCATION,EQP,E80,BOBCAT,01/11/2018,31/01/2023,109,90,"1,21",0,2022,0,260,,55000,0,,3.0
84,84,50,1,146029,U,RETOUR PLANIFIE,EQP,305E-CR,CATERPILLA,31/01/2019,02/02/2023,108,97,"1,11",0,2019,0,112,,36500,0,,3.0
85,85,50,1,146029,U,RETOUR PLANIFIE,EQP,305E-CR,CATERPILLA,31/01/2019,02/02/2023,108,97,"1,11",0,2020,0,262,,36500,0,,3.0
86,86,50,1,146029,U,RETOUR PLANIFIE,EQP,305E-CR,CATERPILLA,31/01/2019,02/02/2023,108,97,"1,11",0,2021,0,261,,36500,0,,3.0
87,87,50,1,146029,U,RETOUR PLANIFIE,EQP,305E-CR,CATERPILLA,31/01/2019,02/02/2023,108,97,"1,11",0,2022,0,260,,36500,0,,3.0
88,88,50,1,146033,N,PANNE COURT TERME,EQP,VIO50,YANMAR,18/11/2013,31/01/2023,108,97,"1,12",0,2019,0,112,,36500,0,,3.0
89,89,50,1,146033,N,PANNE COURT TERME,EQP,VIO50,YANMAR,18/11/2013,31/01/2023,108,97,"1,12",0,2020,0,262,,36500,0,,3.0
90,90,50,1,146033,N,PANNE COURT TERME,EQP,VIO50,YANMAR,18/11/2013,31/01/2023,108,97,"1,12",0,2021,0,261,,36500,0,,3.0
91,91,50,1,146033,N,PANNE COURT TERME,EQP,VIO50,YANMAR,18/11/2013,31/01/2023,108,97,"1,12",0,2022,0,260,,36500,0,,3.0
92,92,50,1,146037,O,EN LOCATION,EQP,MT625T,MANITOU,18/12/2013,31/01/2023,107,116,"0,93",15116,2019,0,66,,37000,3,,1.0
93,93,50,1,146038,O,EN LOCATION,ACC,CBR730,MANITOU,18/12/2013,31/01/2023,107,83,"1,29","11041,41",2019,0,66,,1500,0,,1.0
94,94,50,1,146039,O,EN LOCATION,EQP,E80,BOBCAT,01/11/2018,15/02/2023,108,90,"1,2",0,2019,0,112,,55000,0,,3.0
95,95,50,1,146039,O,EN LOCATION,EQP,E80,BOBCAT,01/11/2018,15/02/2023,108,90,"1,2",0,2020,0,262,,55000,0,,3.0
96,96,50,1,146039,O,EN LOCATION,EQP,E80,BOBCAT,01/11/2018,15/02/2023,108,90,"1,2",0,2021,0,261,,55000,0,,3.0
97,97,50,1,146039,O,EN LOCATION,EQP,E80,BOBCAT,01/11/2018,15/02/2023,108,90,"1,2",0,2022,0,260,,55000,0,,3.0
98,98,57,1,273442,R,ZONE RETOUR CTRL OBLIGATOIRES,EQP,MX170-IVECO-E6,MULTITEL,09/05/2017,15/02/2023,67,103,"0,65",0,2018,0,1,0.0,52500,0,,2.0
99,99,57,1,273794,O,EN LOCATION,EQP,Z-34/22N,GENIE,11/04/2018,31/01/2023,65,119,"0,55",0,2018,0,1,0.0,28000,0,,2.0
100,100,57,1,273797,O,EN LOCATION,EQP,Z-80/60,GENIE,04/04/2018,30/01/2023,65,119,"0,55",0,2018,0,1,0.0,90000,0,,2.0
101,101,57,1,315248,U,RETOUR PLANIFIE,EQP,GS2032,GENIE,07/06/2018,13/02/2023,54,112,"0,48",0,2018,0,1,0.0,9900,0,,2.0
102,102,57,1,318755,U,RETOUR PLANIFIE,EQP,SV08,YANMAR,31/01/2018,31/01/2023,58,92,"0,63",0,2018,0,1,0.0,13500,0,,3.0
103,103,57,1,374006,O,EN LOCATION,EQP,MT1440,MANITOU,01/03/2019,31/01/2023,45,111,"0,41",0,2019,0,2,0.0,55000,0,,1.0
104,104,57,1,544604,R,ZONE RETOUR CTRL OBLIGATOIRES,EQP,E10E,BOBCAT,14/09/2022,15/02/2023,3,92,"0,03",0,2022,0,40,14560.0,47615,0,,3.0
105,105,70,1,146029,U,RETOUR PLANIFIE,EQP,305E-CR,CATERPILLA,31/01/2019,02/02/2023,108,97,"1,11",0,2018,0,93,,36500,0,,3.0
106,106,70,1,146029,U,RETOUR PLANIFIE,EQP,305E-CR,CATERPILLA,31/01/2019,02/02/2023,108,97,"1,11",0,2019,0,261,,36500,0,,3.0
107,107,70,1,146029,U,RETOUR PLANIFIE,EQP,305E-CR,CATERPILLA,31/01/2019,02/02/2023,108,97,"1,11",0,2020,0,262,,36500,0,,3.0
108,108,70,1,146029,U,RETOUR PLANIFIE,EQP,305E-CR,CATERPILLA,31/01/2019,02/02/2023,108,97,"1,11",0,2021,0,261,,36500,0,,3.0
109,109,70,1,146029,U,RETOUR PLANIFIE,EQP,305E-CR,CATERPILLA,31/01/2019,02/02/2023,108,97,"1,11",0,2022,0,260,,36500,0,,3.0
110,110,70,1,146033,N,PANNE COURT TERME,EQP,VIO50,YANMAR,18/11/2013,31/01/2023,108,97,"1,12",0,2019,0,261,,36500,0,,3.0
111,111,70,1,146033,N,PANNE COURT TERME,EQP,VIO50,YANMAR,18/11/2013,31/01/2023,108,97,"1,12",0,2020,0,262,,36500,0,,3.0
112,112,70,1,146033,N,PANNE COURT TERME,EQP,VIO50,YANMAR,18/11/2013,31/01/2023,108,97,"1,12",0,2021,0,261,,36500,0,,3.0
113,113,70,1,146033,N,PANNE COURT TERME,EQP,VIO50,YANMAR,18/11/2013,31/01/2023,108,97,"1,12",0,2022,0,260,,36500,0,,3.0
114,114,101,1,2380441,O,EN LOCATION,EQP,TB216S-HYBRID,TAKEUCHI,26/04/2017,31/01/2023,77,97,"0,79",0,2018,0,75,18750.0,38000,0,,3.0
115,115,101,1,2380451,A,DISPONIBLE,EQP,TB216S-HYBRID,TAKEUCHI,26/04/2017,11/10/2022,77,97,"0,79",0,2018,0,75,18750.0,38000,0,,3.0
116,116,101,1,2380561,A,DISPONIBLE,EQP,TB216S-HYBRID,TAKEUCHI,20/06/2017,02/02/2023,77,97,"0,79",0,2018,0,75,18750.0,38000,0,,3.0
117,117,101,1,2461591,O,EN LOCATION,EQP,P38-14,MERLO,19/05/2017,31/01/2023,66,111,"0,6",0,2018,0,75,18750.0,55000,0,,1.0
118,118,101,1,2493711,O,EN LOCATION,EQP,ECR58D,VOLVO,27/06/2017,31/01/2023,77,87,"0,89",0,2018,0,75,27900.0,48000,0,,3.0
119,119,101,1,2493721,O,EN LOCATION,EQP,ECR58D,VOLVO,27/06/2017,14/02/2023,77,87,"0,89",0,2018,0,75,27900.0,48000,0,,3.0
120,120,101,1,2493731,O,EN LOCATION,EQP,ECR58D,VOLVO,27/06/2017,02/09/2023,77,87,"0,89",0,2018,0,75,27900.0,48000,0,,3.0
121,121,101,1,2494201,O,EN LOCATION,EQP,ECR88D,VOLVO,14/04/2017,31/01/2023,77,87,"0,89",0,2018,0,75,36900.0,70000,0,,3.0
122,122,101,1,2494811,J,FERRAILLE,EQP,ECR58D,VOLVO,10/07/2017,26/02/2021,55,87,"0,63",0,2018,0,75,27900.0,48000,0,19/08/2020,3.0
123,123,101,1,2494821,O,EN LOCATION,EQP,ECR58D,VOLVO,05/07/2017,31/01/2023,77,87,"0,89",0,2018,0,75,27900.0,48000,0,,3.0
124,124,101,1,2494831,N,PANNE COURT TERME,EQP,ECR58D,VOLVO,23/05/2017,24/01/2023,77,87,"0,89",0,2018,0,75,27900.0,48000,0,,3.0
125,125,101,1,2496191,O,EN LOCATION,EQP,ECR58D,VOLVO,22/06/2017,31/01/2023,77,87,"0,89",0,2018,0,75,27900.0,48000,0,,3.0
126,126,101,1,2496201,O,EN LOCATION,EQP,ECR58D,VOLVO,05/07/2017,31/01/2023,77,87,"0,89",0,2018,0,75,27900.0,48000,0,,3.0
127,127,101,1,2496211,N,PANNE COURT TERME,EQP,ECR58D,VOLVO,05/07/2017,01/10/2023,77,87,"0,89",0,2018,0,75,27900.0,48000,0,,3.0
128,128,101,1,2496221,O,EN LOCATION,EQP,ECR58D,VOLVO,05/07/2017,13/02/2023,77,87,"0,89",0,2018,0,75,27900.0,48000,0,,3.0
129,129,101,1,2496231,I,EN TRANSIT,EQP,ECR58D,VOLVO,05/07/2017,15/02/2023,77,87,"0,89",0,2018,0,75,27900.0,48000,0,,3.0
130,130,101,1,2496531,O,EN LOCATION,EQP,ECR88D,VOLVO,06/04/2017,31/01/2023,77,87,"0,89",0,2018,0,75,36900.0,70000,0,,3.0
131,131,101,1,2502991,A,DISPONIBLE,EQP,EC18D DEMOL,VOLVO,19/04/2017,30/01/2023,77,87,"0,89",0,2018,0,75,15825.0,20000,0,,3.0
132,132,101,1,2503001,O,EN LOCATION,EQP,EC18D DEMOL,VOLVO,19/04/2017,02/01/2023,77,87,"0,89",0,2018,0,75,15825.0,20000,0,,3.0
133,133,101,1,2503241,R,ZONE RETOUR CTRL OBLIGATOIRES,EQP,EC18D DEMOL,VOLVO,27/04/2017,02/09/2023,77,87,"0,89",0,2018,0,75,15825.0,20000,0,,3.0
134,134,101,1,2503251,O,EN LOCATION,EQP,EC18D DEMOL,VOLVO,13/04/2017,14/02/2023,77,87,"0,89",0,2018,0,75,15825.0,20000,0,,3.0
135,135,101,1,2503321,O,EN LOCATION,EQP,EC18D DEMOL,VOLVO,14/04/2017,02/10/2023,77,87,"0,89",0,2018,0,75,15825.0,20000,0,,3.0
136,136,101,1,2503451,O,EN LOCATION,EQP,EC18D DEMOL,VOLVO,14/04/2017,14/02/2023,77,87,"0,89",0,2018,0,75,15825.0,20000,0,,3.0
137,137,101,1,2503461,R,ZONE RETOUR CTRL OBLIGATOIRES,EQP,EC18D DEMOL,VOLVO,14/04/2017,02/09/2023,77,87,"0,89",0,2018,0,75,15825.0,20000,0,,3.0
138,138,101,1,2542261,O,EN LOCATION,EQP,P27.6,MERLO,21/04/2017,13/02/2023,77,116,"0,66",0,2018,0,75,12075.0,37000,0,,1.0
139,139,101,1,2542281,O,EN LOCATION,EQP,P27.6,MERLO,21/04/2017,31/01/2023,77,116,"0,66",0,2018,0,75,12075.0,37000,0,,1.0
140,140,101,1,2549471,O,EN LOCATION,EQP,MT732100STANDAR,MANITOU,28/04/2017,31/01/2023,77,116,"0,66",0,2018,0,75,13125.0,43000,0,,1.0
141,141,101,1,2572921,O,EN LOCATION,EQP,MT625EASY,MANITOU,22/05/2017,31/01/2023,66,116,"0,57",0,2018,0,75,12075.0,37000,0,,1.0
142,142,101,1,2578961,R,ZONE RETOUR CTRL OBLIGATOIRES,EQP,VIO33UCR,YANMAR,24/04/2017,15/02/2023,67,97,"0,69",0,2018,0,75,19875.0,30500,0,,3.0
143,143,101,1,2578971,A,DISPONIBLE,EQP,VIO33UCR,YANMAR,24/04/2017,02/01/2023,67,97,"0,69",0,2018,0,75,19875.0,30500,0,,3.0
144,144,101,1,2578981,O,EN LOCATION,EQP,VIO33UCR,YANMAR,24/04/2017,31/01/2023,67,97,"0,69",0,2018,0,75,19875.0,30500,0,,3.0
145,145,101,1,2580491,R,ZONE RETOUR CTRL OBLIGATOIRES,EQP,EZ38-CPY,NEUSON,03/05/2017,02/03/2023,67,97,"0,69",0,2018,0,75,19875.0,30500,0,,3.0
146,146,101,1,2580581,O,EN LOCATION,EQP,VIO33UCR,YANMAR,30/05/2017,31/01/2023,66,97,"0,68",0,2018,0,75,19875.0,30500,0,,3.0
147,147,101,1,2580591,O,EN LOCATION,EQP,VIO33UCR,YANMAR,30/05/2017,24/01/2023,66,97,"0,68",0,2018,0,75,19875.0,30500,0,,3.0
148,148,101,1,2581281,O,EN LOCATION,EQP,ECR88D,VOLVO,19/05/2017,02/03/2023,66,90,"0,74",0,2018,0,75,30000.0,55000,0,,3.0
149,149,101,1,2581321,U,RETOUR PLANIFIE,EQP,ECR88D,VOLVO,12/05/2017,14/02/2023,67,90,"0,74",0,2018,0,75,30000.0,55000,0,,3.0
150,150,101,1,2585951,O,EN LOCATION,EQP,MT1440EASY,MANITOU,21/06/2017,02/07/2023,65,111,"0,59",0,2018,0,75,18750.0,55000,0,,1.0
151,151,101,1,2585991,N,PANNE COURT TERME,EQP,MT1440EASY,MANITOU,15/06/2017,19/12/2022,66,111,"0,59",0,2018,0,75,18750.0,55000,0,,1.0
152,152,101,1,2586041,O,EN LOCATION,EQP,MT420H,MANITOU,12/05/2017,02/08/2023,67,116,"0,57",0,2018,0,75,9450.0,34000,0,,1.0
153,153,101,1,2594141,O,EN LOCATION,EQP,MLT840-115,MANITOU,03/08/2017,31/01/2023,64,116,"0,55",0,2018,0,75,23250.0,74500,0,,1.0
154,154,101,1,2594151,A,DISPONIBLE,EQP,MT932EASY,MANITOU,09/08/2017,10/05/2022,64,116,"0,55",0,2018,0,75,16500.0,46000,0,,1.0
155,155,101,1,2596201,U,RETOUR PLANIFIE,EQP,P27.6,MERLO,15/05/2017,31/01/2023,67,116,"0,57",0,2018,0,75,12075.0,37000,0,,1.0
156,156,101,1,2596461,A,DISPONIBLE,EQP,P27.6,MERLO,02/05/2017,30/01/2023,67,116,"0,58",0,2018,0,75,12075.0,37000,0,,1.0
157,157,101,1,2596481,N,PANNE COURT TERME,EQP,P27.6,MERLO,24/04/2017,01/12/2023,67,116,"0,58",0,2018,0,75,12075.0,37000,0,,1.0
158,158,101,1,2596491,U,RETOUR PLANIFIE,EQP,P27.6,MERLO,14/04/2017,14/02/2023,68,116,"0,58",0,2018,0,75,12075.0,37000,0,,1.0
159,159,101,1,2596671,O,EN LOCATION,EQP,P27.6,MERLO,14/04/2017,31/01/2023,68,116,"0,58",0,2018,0,75,12075.0,37000,0,,1.0
160,160,101,1,2596741,N,PANNE COURT TERME,EQP,P27.6,MERLO,14/04/2017,28/10/2022,68,116,"0,58",0,2018,0,75,12075.0,37000,0,,1.0
161,161,101,1,2596781,O,EN LOCATION,EQP,P27.6,MERLO,21/04/2017,31/01/2023,67,116,"0,58",0,2018,0,75,12075.0,37000,0,,1.0
162,162,101,1,2596811,U,RETOUR PLANIFIE,EQP,EZ38,NEUSON,06/06/2017,02/10/2023,66,97,"0,68",0,2018,0,75,19875.0,30500,0,,3.0
